iter	Logloss
0	0.6911043782
1	0.6891799912
2	0.6872030394
3	0.6854379041
4	0.6831495453
5	0.6813061015
6	0.6791177209
7	0.6774625815
8	0.67519502
9	0.6735357641
10	0.6715405391
11	0.6696219831
12	0.6674481424
13	0.6657220557
14	0.6636240936
15	0.6617680743
16	0.6598105329
17	0.6579204811
18	0.6560117861
19	0.6545356541
20	0.652613072
21	0.6507859564
22	0.6487748083
23	0.6471859631
24	0.6452019106
25	0.6433061988
26	0.6412723815
27	0.6396881514
28	0.6378581659
29	0.6356507319
30	0.6336438619
31	0.6319420241
32	0.6303110743
33	0.6288263874
34	0.6271002436
35	0.6254681152
36	0.6239096446
37	0.6222412592
38	0.6205458227
39	0.618823844
40	0.6169564421
41	0.6155904604
42	0.6142853191
43	0.6127095006
44	0.6110914578
45	0.6092719638
46	0.607808101
47	0.6061137468
48	0.6044784929
49	0.6028776981
50	0.6011845594
51	0.5996621031
52	0.5978831587
53	0.5962403847
54	0.594741154
55	0.5929800085
56	0.5914469986
57	0.5899463906
58	0.5885286476
59	0.5870342128
60	0.5856535997
61	0.5839475119
62	0.5828143847
63	0.5814551248
64	0.5800181547
65	0.5784221588
66	0.5770761152
67	0.5759494927
68	0.5744639369
69	0.5728921748
70	0.5714328649
71	0.570249328
72	0.5689118993
73	0.5673191736
74	0.5660875207
75	0.5647414007
76	0.5631385139
77	0.5618655788
78	0.5606588321
79	0.5596262815
80	0.5583738289
81	0.556955396
82	0.5554859898
83	0.5541606535
84	0.5528755634
85	0.5514375466
86	0.5503077734
87	0.549309999
88	0.5481833611
89	0.546837263
90	0.5454629853
91	0.5442279121
92	0.5432066873
93	0.5420705515
94	0.5408923807
95	0.5396622337
96	0.5387931301
97	0.5375629008
98	0.5362609874
99	0.5350624372
100	0.5339539601
101	0.5329189717
102	0.5317679701
103	0.5306221481
104	0.5296069294
105	0.5287901721
106	0.5275901639
107	0.5264562534
108	0.5256463291
109	0.5243910292
110	0.5233197359
111	0.5221063193
112	0.5211412076
113	0.5199433103
114	0.5191327161
115	0.5181866366
116	0.5172136605
117	0.5162653644
118	0.5152401346
119	0.5141240856
120	0.5131399776
121	0.5118984387
122	0.5111505249
123	0.5101995799
124	0.5092758589
125	0.5083535675
126	0.5074852266
127	0.5066416852
128	0.5058469801
129	0.504847551
130	0.503946955
131	0.5030058946
132	0.5020588162
133	0.501018459
134	0.4999512188
135	0.499031757
136	0.4979452837
137	0.4969077941
138	0.495862045
139	0.4949926744
140	0.4941446486
141	0.4932000684
142	0.4920126437
143	0.4912401489
144	0.4905047227
145	0.48974332
146	0.4886724977
147	0.4877389069
148	0.4871939072
149	0.4863960158
150	0.4852258654
151	0.4845402108
152	0.4837600452
153	0.4831921137
154	0.4822552475
155	0.48149796
156	0.4807290677
157	0.4797288346
158	0.4790205334
159	0.4782893123
160	0.47749978
161	0.4769139196
162	0.4761402499
163	0.4751625355
164	0.4743676083
165	0.4736139801
166	0.4729157061
167	0.4721004333
168	0.4714791672
169	0.4707600782
170	0.4699670322
171	0.4693204071
172	0.4685614984
173	0.4678562524
174	0.467085857
175	0.4662565456
176	0.4657361959
177	0.4651335677
178	0.4643954425
179	0.4637595071
180	0.4630395352
181	0.4623275405
182	0.4616684934
183	0.460924333
184	0.4601343572
185	0.4596979869
186	0.459014503
187	0.4583825927
188	0.4578811358
189	0.4569363885
190	0.4564731817
191	0.4559293508
192	0.4551770118
193	0.4545959679
194	0.4541823999
195	0.4534112347
196	0.4526584781
197	0.4519221378
198	0.4513156313
199	0.4509287941
200	0.4504313999
201	0.4496738396
202	0.4491696554
203	0.4484705502
204	0.4478122303
205	0.4473090377
206	0.4468980599
207	0.4465248081
208	0.4461455709
209	0.4455528219
210	0.4450159417
211	0.4443308995
212	0.4437175387
213	0.4430868328
214	0.4427271033
215	0.4421367786
216	0.4417230756
217	0.4409420624
218	0.4403490352
219	0.4396740824
220	0.439040685
221	0.438526108
222	0.4379093837
223	0.4372307748
224	0.4368181109
225	0.4363882061
226	0.4357707041
227	0.434999616
228	0.4346168122
229	0.4341011573
230	0.4337881185
231	0.433149988
232	0.4327976431
233	0.4321428947
234	0.4314614507
235	0.4310138897
236	0.4304695672
237	0.4297748108
238	0.4293037696
239	0.4288737331
240	0.4285263797
241	0.4281284945
242	0.4274663924
243	0.4269873177
244	0.4264518132
245	0.4258434
246	0.4252812242
247	0.4248619961
248	0.4243415002
249	0.4239142984
250	0.4232554303
251	0.4227642648
252	0.4224221211
253	0.4217261974
254	0.4211130532
255	0.4204356708
256	0.4199634466
257	0.4196636612
258	0.4190921691
259	0.4184696684
260	0.4181520581
261	0.4176585615
262	0.4173310128
263	0.4168041664
264	0.4163878325
265	0.4158145204
266	0.4152150026
267	0.4146906659
268	0.4142410159
269	0.4136633554
270	0.4131969015
271	0.4127373766
272	0.4123657789
273	0.4120825086
274	0.4113794504
275	0.4110756235
276	0.410587671
277	0.4102327053
278	0.4097472103
279	0.4092523443
280	0.4085975594
281	0.4081449087
282	0.4075962873
283	0.4074865845
284	0.4069889051
285	0.4065290187
286	0.4061324974
287	0.4057580657
288	0.4054371901
289	0.4047842419
290	0.4042988287
291	0.4039472116
292	0.4035166549
293	0.4032567112
294	0.4027851115
295	0.4023531876
296	0.4018121158
297	0.4015568115
298	0.401161015
299	0.4007455625
300	0.4003328991
301	0.3999399435
302	0.3995430618
303	0.3992197295
304	0.3987634442
305	0.3983616523
306	0.3979811683
307	0.3975863058
308	0.3972376861
309	0.3969573995
310	0.3965911056
311	0.3962033636
312	0.3958538064
313	0.3957591527
314	0.3953093941
315	0.3950316016
316	0.3946190997
317	0.39411938
318	0.3936999746
319	0.3933490527
320	0.3929877579
321	0.3926042404
322	0.3922277905
323	0.3916523079
324	0.3910237522
325	0.3907662275
326	0.3906287056
327	0.3902645437
328	0.3897308183
329	0.3893589794
330	0.389069167
331	0.3886314983
332	0.3881981027
333	0.3878291336
334	0.3875594831
335	0.3870947679
336	0.3868575102
337	0.3863618839
338	0.3860688359
339	0.3858136904
340	0.3853636888
341	0.3849086172
342	0.3846562478
343	0.3841857106
344	0.3837736073
345	0.3833493435
346	0.3832284522
347	0.3827094044
348	0.3824836378
349	0.3820631336
350	0.381594587
351	0.3810789898
352	0.380738445
353	0.38033046
354	0.3798950917
355	0.3797981274
356	0.3796391681
357	0.3794113097
358	0.3791267253
359	0.3787884061
360	0.3784558615
361	0.3780605814
362	0.3775952157
363	0.3773823538
364	0.3769906471
365	0.3767011749
366	0.3764102303
367	0.3760892515
368	0.3758224477
369	0.3754441601
370	0.3750186954
371	0.3747730774
372	0.3744364778
373	0.3740457923
374	0.3737533607
375	0.373395214
376	0.3731354669
377	0.37296789
378	0.3726459655
379	0.3724368432
380	0.3719797556
381	0.3715871448
382	0.3713607848
383	0.3711136895
384	0.3708660799
385	0.3705053111
386	0.3702607511
387	0.3699648015
388	0.3696186728
389	0.3693674865
390	0.3690153137
391	0.3687205015
392	0.3683807726
393	0.3681885959
394	0.3679673721
395	0.3676583222
396	0.3673858354
397	0.3671528742
398	0.3667530823
399	0.3664314089
400	0.366210039
401	0.3658019845
402	0.3657409956
403	0.3655720071
404	0.365275648
405	0.3649211398
406	0.3647962178
407	0.3646297345
408	0.3644403635
409	0.3641671744
410	0.3639338424
411	0.3637372075
412	0.3635128095
413	0.3632588409
414	0.3629446734
415	0.3625800621
416	0.362160198
417	0.3619142368
418	0.3615663469
419	0.3614244487
420	0.3609999812
421	0.36074274
422	0.3606020517
423	0.360280603
424	0.3599635615
425	0.3596993591
426	0.3593887406
427	0.3591682099
428	0.3589322215
429	0.3586667133
430	0.3584936637
431	0.3580635608
432	0.3577455168
433	0.3574323712
434	0.3571137301
435	0.3569935179
436	0.3566223398
437	0.3564605582
438	0.3561589905
439	0.3560001747
440	0.355744135
441	0.3555086485
442	0.3553173988
443	0.3551152066
444	0.3546081417
445	0.3543976688
446	0.3541108054
447	0.3538104016
448	0.3535997508
449	0.3534052415
450	0.3531867041
451	0.3527780818
452	0.3524270264
453	0.35214966
454	0.3519024926
455	0.3517484921
456	0.3514610758
457	0.3512529216
458	0.3509753214
459	0.3505968089
460	0.3504316647
461	0.3501988656
462	0.3500580058
463	0.3499066925
464	0.3495453428
465	0.3494471534
466	0.3491173532
467	0.3487584374
468	0.3485435302
469	0.3482713672
470	0.3479185277
471	0.3476877667
472	0.3475060986
473	0.3473119768
474	0.3471176802
475	0.3466861011
476	0.34644864
477	0.3462433039
478	0.346119606
479	0.3459483333
480	0.345733248
481	0.3455685642
482	0.3454291951
483	0.3452185297
484	0.344917252
485	0.3446779945
486	0.3444961772
487	0.3441482907
488	0.3439258145
489	0.3436426249
490	0.3434705902
491	0.3433227264
492	0.3429744567
493	0.3427231962
494	0.3423728846
495	0.3421707576
496	0.3418293541
497	0.3416614685
498	0.3415737909
499	0.3412913987
