Group;Testing;;;Training;;
recurrence;No;Yes;p;No;Yes;p
;(N=183);(N=30);;(N=732);(N=118);
Sex                             ;;;1.000;;;0.285
  - Female                      ;166 (90.7%);27 (90.0%);;660 (90.2%);102 (86.4%);
  - Male                        ;17 ( 9.3%);3 (10.0%);;72 ( 9.8%);16 (13.6%);
Age                             ;48.0 ± 13.5;49.6 ± 14.1;0.566;46.7 ± 13.0;47.6 ± 16.3;0.558
Radiotherapy exposure           ;;;0.509;;;0.393
  - No                          ;164 (94.8%);26 (89.7%);;668 (94.6%);105 (92.1%);
  - Yes                         ;9 ( 5.2%);3 (10.3%);;38 ( 5.4%);9 ( 7.9%);
Family history of Thyroid cancer;;;1.000;;;0.309
  - No                          ;164 (92.7%);28 (93.3%);;658 (91.5%);104 (88.1%);
  - Yes                         ;13 ( 7.3%);2 ( 6.7%);;61 ( 8.5%);14 (11.9%);
Thyroid Disease Preoperative    ;;;0.028;;;0.001
  - Euthyroidism                ;100 (60.2%);10 (35.7%);;384 (57.3%);51 (46.4%);
  - Hypothyrism                 ;14 ( 8.4%);2 ( 7.1%);;55 ( 8.2%);2 ( 1.8%);
  - Hyperthyroidism             ;52 (31.3%);16 (57.1%);;231 (34.5%);57 (51.8%);
BMI                             ;29.3 ±  5.8;28.9 ±  6.3;0.764;28.9 ±  5.5;28.4 ±  5.5;0.452
Thyroidectomy approach          ;;;0.012;;;0.000
  - Total                       ;115 (62.8%);11 (36.7%);;415 (56.7%);39 (33.1%);
  - Total + Lymphadenectomy     ;68 (37.2%);19 (63.3%);;317 (43.3%);79 (66.9%);
Type of resection               ;;;0.159;;;0.000
  - R0                          ;126 (85.1%);17 (73.9%);;492 (88.3%);63 (67.7%);
  - R1                          ;18 (12.2%);6 (26.1%);;62 (11.1%);22 (23.7%);
  - R2                          ;4 ( 2.7%); 0 ( 0.0%);;3 ( 0.5%);8 ( 8.6%);
Histology                       ;;;0.615;;;0.292
  - Papilar                     ;176 (96.2%);28 (93.3%);;699 (95.5%);109 (92.4%);
  - Folicular                   ;6 ( 3.3%);2 ( 6.7%);;28 ( 3.8%);7 ( 5.9%);
  - Hurtle Cells                ;1 ( 0.5%); 0 ( 0.0%);;5 ( 0.7%);2 ( 1.7%);
Tumor size                      ;10.1 ± 15.6;17.7 ± 22.9;0.110; 9.7 ± 14.0;18.9 ± 21.7;0.000
Extrathyroidal extension        ;;;0.028;;;0.000
  - Absent                      ;106 (62.0%);10 (40.0%);;415 (63.6%);37 (36.3%);
  - Microscopic                 ;54 (31.6%);10 (40.0%);;202 (30.9%);44 (43.1%);
  - Macroscopic                 ;11 ( 6.4%);5 (20.0%);;36 ( 5.5%);21 (20.6%);
Multicentric state              ;;;0.872;;;0.043
  - No                          ;112 (61.5%);15 (57.7%);;441 (60.9%);58 (50.4%);
  - Yes                         ;70 (38.5%);11 (42.3%);;283 (39.1%);57 (49.6%);
Multicenter bilateral           ;;;0.187;;;0.164
  - No                          ;75 (71.4%);7 (50.0%);;292 (75.6%);32 (65.3%);
  - Yes                         ;30 (28.6%);7 (50.0%);;94 (24.4%);17 (34.7%);
Vascular invasion               ;;;0.549;;;0.000
  - No                          ;113 (80.1%);12 (70.6%);;401 (78.6%);43 (58.9%);
  - Yes                         ;28 (19.9%);5 (29.4%);;109 (21.4%);30 (41.1%);
Perineural invasion             ;;;0.303;;;0.104
  - No                          ;124 (91.9%);12 (80.0%);;446 (91.4%);53 (84.1%);
  - Yes                         ;11 ( 8.1%);3 (20.0%);;42 ( 8.6%);10 (15.9%);
Positive Lymphnode              ;;;0.095;;;0.000
  - No excision                 ;111 (66.5%);14 (48.3%);;423 (63.6%);42 (37.8%);
  - No                          ;56 (33.5%);15 (51.7%);;242 (36.4%);69 (62.2%);
Number of Lymphnode excision    ;13.4 ± 20.9;16.3 ± 17.9;0.557;11.7 ± 16.9;22.5 ± 24.9;0.000
Number of Positive Lymphnode    ; 3.5 ±  6.7; 7.1 ±  8.6;0.041; 3.6 ±  5.8; 8.6 ±  8.9;0.000
Lymphnode ratio                 ;41.1 ± 38.4;45.8 ± 34.2;0.650;40.8 ± 35.5;52.1 ± 52.8;0.082
Size of positive lymphnode      ; 1.9 ±  1.1; 1.6 ±  1.0;0.620; 1.9 ±  2.0; 2.5 ±  1.4;0.091
Extranodal extension            ;;;0.644;;;0.007
  - No                          ;33 (84.6%);8 (72.7%);;129 (92.1%);30 (75.0%);
  - Yes                         ;6 (15.4%);3 (27.3%);;11 ( 7.9%);10 (25.0%);
Hashimoto disease               ;;;0.575;;;0.017
  - No                          ;119 (76.3%);15 (68.2%);;426 (71.8%);72 (84.7%);
  - Yes                         ;37 (23.7%);7 (31.8%);;167 (28.2%);13 (15.3%);
TNM T                           ;;;1.000;;;0.000
  - Tx                          ; 0 ( 0.0%); 0 ( 0.0%);; 0 ( 0.0%);1 ( 0.8%);
  - T1                          ;107 (58.8%);11 (36.7%);;415 (56.8%);28 (23.7%);
  - T2                          ;41 (22.5%);4 (13.3%);;176 (24.1%);28 (23.7%);
  - T3                          ;29 (15.9%);13 (43.3%);;126 (17.2%);47 (39.8%);
  - T4                          ;5 ( 2.7%);2 ( 6.7%);;14 ( 1.9%);14 (11.9%);
TNM N                           ;;;0.313;;;0.000
  - Nx                          ;18 (10.1%);1 ( 3.3%);;64 ( 8.8%);9 ( 7.7%);
  - N0                          ;107 (59.8%);16 (53.3%);;413 (57.0%);40 (34.2%);
  - N1a                         ;27 (15.1%);5 (16.7%);;162 (22.3%);20 (17.1%);
  - N1b                         ;27 (15.1%);8 (26.7%);;86 (11.9%);48 (41.0%);
TNM M                           ;;;0.000;;;0.000
  - M0                          ;180 (99.4%);25 (83.3%);;721 (98.8%);85 (72.0%);
  - M1                          ;1 ( 0.6%);5 (16.7%);;9 ( 1.2%);33 (28.0%);
Stage                           ;;;0.029;;;0.000
  - Low                         ;43 (35.2%);2 (14.3%);;154 (33.7%);3 ( 5.8%);
  - Low-Intermediate Risk       ;19 (15.6%);1 ( 7.1%);;96 (21.0%);2 ( 3.8%);
  - High-Intermediate Risk      ;48 (39.3%);6 (42.9%);;168 (36.8%);15 (28.8%);
  - High                        ;12 ( 9.8%);5 (35.7%);;39 ( 8.5%);32 (61.5%);
Radioactive Iodine (RAI) therapy;;;0.106;;;0.000
  - No                          ;46 (25.4%);3 (10.0%);;169 (23.1%);7 ( 5.9%);
  - Yes                         ;135 (74.6%);27 (90.0%);;562 (76.9%);111 (94.1%);
RAI dose                        ;100.2 ± 39.0;119.6 ± 43.7;0.029;96.5 ± 40.7;133.5 ± 42.0;0.000
Tiroglobuline pre-RAI           ;13.9 ± 26.0;66.7 ± 77.9;0.011;14.4 ± 49.0;1193.1 ± 4464.9;0.033
Following in months             ;89.9 ± 65.5;89.0 ± 50.2;0.944;84.7 ± 67.0;82.9 ± 65.4;0.788
TSH at following                ; 2.9 ± 10.7; 6.0 ± 17.1;0.341; 6.6 ± 24.7; 3.6 ± 14.8;0.076
TG at following                 ; 1.0 ±  6.7;241.1 ± 904.0;0.156; 1.1 ±  6.0;220.0 ± 817.6;0.005
Subtype                         ;;;1.000;;;0.188
  - Minimally invasive          ;72 (41.6%);17 (58.6%);;354 (51.7%);55 (49.5%);
  - Encapsulated invasive       ; 0 ( 0.0%); 0 ( 0.0%);;1 ( 0.1%); 0 ( 0.0%);
  - Widely invasive             ;59 (34.1%);7 (24.1%);;189 (27.6%);28 (25.2%);
