accuracy,precision,recall,f1,tn,fp,fn,tp,threshold,roc_auc_score,auc,observed,expected,oe_ratio,brier_score,log_loss,ece,calibration_intercept,calibration_slope,model,imputation,best_cv_auc
0.8266666666666667,0.43902439024390244,0.8571428571428571,0.5806451612903226,106,23,3,18,0.5,0.9110372831303064,0.9110372831303064,21,50.03381430064161,0.4197161518371528,0.12134155031563164,0.38893138213653905,0.1935587620042774,-1.8811168421217643,1.229571710797741,LogisticRegression_tuned,1,0.9004786138900972
0.8133333333333334,0.4186046511627907,0.8571428571428571,0.5625,104,25,3,18,0.5,0.9095607235142119,0.9095607235142119,21,56.84790935290307,0.3694067246982687,0.13533768157323445,0.4351902893384723,0.24022213536302148,-2.0379643194200825,1.814021585383433,LogisticRegression_tuned,2,0.8955776424532406
0.82,0.42857142857142855,0.8571428571428571,0.5714285714285714,105,24,3,18,0.5,0.9132521225544481,0.9132521225544481,21,56.74635670399998,0.37006781086475876,0.134721258127106,0.43137360485497167,0.23830904469333325,-2.0711437246018485,1.8401363134440962,LogisticRegression_tuned,3,0.9009850659707119
0.82,0.42857142857142855,0.8571428571428571,0.5714285714285714,105,24,3,18,0.5,0.902547065337763,0.902547065337763,21,56.86494172744435,0.3692960787800282,0.13781163878274402,0.4369617250537247,0.25277209894481134,-1.9894075910605196,1.7909548767333754,LogisticRegression_tuned,4,0.9087551109177904
0.8133333333333334,0.4146341463414634,0.8095238095238095,0.5483870967741935,105,24,4,17,0.5,0.9018087855297158,0.9018087855297158,21,57.49142100763787,0.36527188982178926,0.14097911216682968,0.4472287701282193,0.24327614005091916,-1.9815713972334308,1.7174968656010918,LogisticRegression_tuned,5,0.8941609757865739
0.7666666666666667,0.36,0.8571428571428571,0.5070422535211268,97,32,3,18,0.5,0.9080841638981173,0.9080841638981173,21,67.84640147310657,0.3095226798185329,0.18047345087182995,0.5471701510830164,0.31723877998711575,-2.4004792529685273,3.4611256974230846,LogisticRegression_tuned,6,0.8975703204291721
0.8266666666666667,0.43902439024390244,0.8571428571428571,0.5806451612903226,106,23,3,18,0.5,0.9102990033222591,0.9102990033222591,21,56.8996657879245,0.36907070910171696,0.13527505725877007,0.4338521146449017,0.23933110525283,-2.0552924096891276,1.8096954999161898,LogisticRegression_tuned,7,0.9031306365086269
0.76,0.3469387755102041,0.8095238095238095,0.4857142857142857,97,32,4,17,0.5,0.8962716869693614,0.8962716869693614,21,67.9142253352226,0.3092135689738729,0.18396147677799335,0.5546129205500769,0.3176630747489566,-2.27418344437703,3.1128722982267836,LogisticRegression_tuned,8,0.8976050094243874
0.8333333333333334,0.45,0.8571428571428571,0.5901639344262295,107,22,3,18,0.5,0.9021779254337393,0.9021779254337393,21,55.921153180118225,0.3755287365473389,0.13364789625096052,0.42947021105884287,0.23359053910774102,-1.8809050938383405,1.7754118642238046,LogisticRegression_tuned,9,0.9090124329418587
0.8466666666666667,0.47368421052631576,0.8571428571428571,0.6101694915254238,109,20,3,18,0.5,0.908453303802141,0.908453303802141,21,50.28033124201001,0.4176583463406894,0.12325261290049758,0.38950958342043684,0.19520220828006674,-1.9165923047098015,1.220901416502576,LogisticRegression_tuned,10,0.9003550094243874
0.8466666666666667,0.4722222222222222,0.8095238095238095,0.5964912280701754,110,19,4,17,0.5,0.893687707641196,0.893687707641196,21,49.88149445725827,0.42099781148285714,0.11789242729350397,0.3917772282056632,0.19254329638172177,-1.6743075786642572,1.3833011770515486,CatBoost_tuned,1,0.8967406481078729
0.84,0.4594594594594595,0.8095238095238095,0.5862068965517241,109,20,4,17,0.5,0.8966408268733849,0.8966408268733849,21,49.64014155314784,0.4230447243490651,0.11684701429985031,0.3864314117577821,0.19093427702098562,-1.720505835332835,1.398295987374057,CatBoost_tuned,2,0.9025675293605916
