model,imputation,best_cv_auc,best_params
LightGBM,3,0.9069984051036682,"{'model__subsample': 1.0, 'model__num_leaves': 31, 'model__n_estimators': 200, 'model__max_depth': 10, 'model__learning_rate': np.float64(0.01291549665014884), 'model__colsample_bytree': 0.8}"
LightGBM,4,0.9037438741481804,"{'model__subsample': 0.7, 'model__num_leaves': 7, 'model__n_estimators': 800, 'model__max_depth': 5, 'model__learning_rate': np.float64(0.003593813663804626), 'model__colsample_bytree': 1.0}"
LightGBM,5,0.8877042192257504,"{'model__subsample': 0.7, 'model__num_leaves': 7, 'model__n_estimators': 800, 'model__max_depth': 5, 'model__learning_rate': np.float64(0.003593813663804626), 'model__colsample_bytree': 1.0}"
LightGBM,6,0.9044498513846598,"{'model__subsample': 0.7, 'model__num_leaves': 7, 'model__n_estimators': 800, 'model__max_depth': 5, 'model__learning_rate': np.float64(0.003593813663804626), 'model__colsample_bytree': 1.0}"
LightGBM,7,0.9005007612005219,"{'model__subsample': 0.7, 'model__num_leaves': 7, 'model__n_estimators': 800, 'model__max_depth': 5, 'model__learning_rate': np.float64(0.003593813663804626), 'model__colsample_bytree': 1.0}"
LightGBM,8,0.892325902566333,"{'model__subsample': 0.7, 'model__num_leaves': 7, 'model__n_estimators': 800, 'model__max_depth': 5, 'model__learning_rate': np.float64(0.003593813663804626), 'model__colsample_bytree': 1.0}"
LightGBM,9,0.9089712918660287,"{'model__subsample': 0.7, 'model__num_leaves': 7, 'model__n_estimators': 800, 'model__max_depth': 5, 'model__learning_rate': np.float64(0.003593813663804626), 'model__colsample_bytree': 1.0}"
LightGBM,10,0.8955529759315646,"{'model__subsample': 0.7, 'model__num_leaves': 7, 'model__n_estimators': 800, 'model__max_depth': 5, 'model__learning_rate': np.float64(0.003593813663804626), 'model__colsample_bytree': 1.0}"
RandomForest,1,0.9020601167174134,"{'model__n_estimators': 500, 'model__min_samples_split': 10, 'model__min_samples_leaf': 1, 'model__max_features': 'sqrt', 'model__max_depth': None}"
RandomForest,2,0.9037744671596346,"{'model__n_estimators': 300, 'model__min_samples_split': 5, 'model__min_samples_leaf': 5, 'model__max_features': 'log2', 'model__max_depth': 10}"
RandomForest,3,0.9092157097288677,"{'model__n_estimators': 300, 'model__min_samples_split': 5, 'model__min_samples_leaf': 2, 'model__max_features': 'log2', 'model__max_depth': None}"
RandomForest,4,0.9091562635928664,"{'model__n_estimators': 800, 'model__min_samples_split': 5, 'model__min_samples_leaf': 1, 'model__max_features': 'sqrt', 'model__max_depth': 10}"
RandomForest,5,0.900164636798608,"{'model__n_estimators': 300, 'model__min_samples_split': 3, 'model__min_samples_leaf': 2, 'model__max_features': 'sqrt', 'model__max_depth': 5}"
RandomForest,6,0.9109396476729013,"{'model__n_estimators': 500, 'model__min_samples_split': 10, 'model__min_samples_leaf': 1, 'model__max_features': 'sqrt', 'model__max_depth': None}"
RandomForest,7,0.9154336305640133,"{'model__n_estimators': 800, 'model__min_samples_split': 5, 'model__min_samples_leaf': 1, 'model__max_features': 'sqrt', 'model__max_depth': 10}"
RandomForest,8,0.9039053936494128,"{'model__n_estimators': 800, 'model__min_samples_split': 5, 'model__min_samples_leaf': 1, 'model__max_features': 'sqrt', 'model__max_depth': 10}"
RandomForest,9,0.9105989923154993,"{'model__n_estimators': 300, 'model__min_samples_split': 10, 'model__min_samples_leaf': 2, 'model__max_features': 'sqrt', 'model__max_depth': None}"
RandomForest,10,0.9053082862113963,"{'model__n_estimators': 500, 'model__min_samples_split': 10, 'model__min_samples_leaf': 1, 'model__max_features': 'sqrt', 'model__max_depth': None}"
SVC,1,0.8999768740031898,"{'model__gamma': 'auto', 'model__C': np.float64(0.46415888336127775)}"
SVC,2,0.8927535522691026,"{'model__gamma': 'auto', 'model__C': np.float64(0.1)}"
SVC,3,0.8964787951283167,"{'model__gamma': 'auto', 'model__C': np.float64(0.1)}"
SVC,4,0.9040565463244888,"{'model__gamma': 'auto', 'model__C': np.float64(0.46415888336127775)}"
SVC,5,0.8895054733942294,"{'model__gamma': 'auto', 'model__C': np.float64(0.46415888336127775)}"
