Model,balanced_state,Test_Accuracy,Test_Precision,Test_Recall,Test_F1_Score,Test_ROC_AUC
Logistic Regression,Imbalanced,0.9142857142857143,0.75,0.6,0.6666666666666666,0.7833333333333334
Random Forest,Imbalanced,0.9142857142857143,0.75,0.6,0.6666666666666666,0.7833333333333334
XGBoost,Imbalanced,0.9428571428571428,0.875,0.7,0.7777777777777778,0.8416666666666667
KNN,Imbalanced,0.8571428571428571,0.5,0.1,0.16666666666666666,0.5416666666666667
SVC,Imbalanced,0.9,0.7142857142857143,0.5,0.5882352941176471,0.7333333333333333
NB Classifier,Imbalanced,0.8285714285714286,0.4375,0.7,0.5384615384615384,0.7749999999999999
