Model,balanced_state,Test_Accuracy,Test_Precision,Test_Recall,Test_F1_Score,Test_ROC_AUC
Logistic Regression,Imbalanced,0.9,0.6666666666666666,0.6,0.631578947368421,0.775
Random Forest,Imbalanced,0.9,0.6666666666666666,0.6,0.631578947368421,0.775
XGBoost,Imbalanced,0.9285714285714286,0.7777777777777778,0.7,0.7368421052631579,0.8333333333333334
KNN,Imbalanced,0.8857142857142857,0.75,0.3,0.42857142857142855,0.6416666666666666
SVC,Imbalanced,0.9285714285714286,0.7777777777777778,0.7,0.7368421052631579,0.8333333333333334
NB Classifier,Imbalanced,0.8857142857142857,0.5833333333333334,0.7,0.6363636363636364,0.8083333333333332
