accuracy,precision,recall,f1,roc_auc_score,auc,c_statistic,brier_score,observed,expected,observed_expected,calibration_intercept,calibration_slope,tn,fp,fn,tp,threshold,model,imputation
0.8457446808510638,0.45714285714285713,0.6153846153846154,0.5245901639344263,0.7609211775878443,0.7609211775878443,0.7609211775878443,0.1387146785158252,26,60.0014426421691,0.43332291450151167,-1.7726846594611367,0.5503590360132024,143,19,10,16,0.5,LogisticRegression,1
0.8031914893617021,0.36585365853658536,0.5769230769230769,0.44776119402985076,0.7752849002849003,0.7752849002849003,0.7752849002849003,0.12655133925898954,26,58.17425224888808,0.4469331189469127,-1.782531094948491,0.4302140386932568,136,26,11,15,0.5,LogisticRegression,2
0.8297872340425532,0.425,0.6538461538461539,0.5151515151515151,0.7960588793922128,0.7960588793922128,0.7960588793922128,0.12752221505835584,26,58.095409347582454,0.4475396643552861,-1.6370089769914373,0.7194100384013158,139,23,9,17,0.5,LogisticRegression,3
0.8351063829787234,0.43243243243243246,0.6153846153846154,0.5079365079365079,0.7915479582146249,0.7915479582146249,0.7915479582146249,0.12442793642787627,26,59.352810402898285,0.4380584478394031,-1.6445712964411883,0.7947971117200286,141,21,10,16,0.5,LogisticRegression,4
0.8297872340425532,0.4166666666666667,0.5769230769230769,0.4838709677419355,0.7827635327635328,0.7827635327635328,0.7827635327635328,0.12893172596098446,26,58.87873185771311,0.44158559771348066,-1.6784242387542894,0.7083918588901711,141,21,11,15,0.5,LogisticRegression,5
0.8138297872340425,0.3902439024390244,0.6153846153846154,0.47761194029850745,0.7739791073124408,0.7739791073124408,0.7739791073124408,0.14377097390307597,26,58.795617903115335,0.44220982663781766,-1.8237337306017412,0.36911235786097846,137,25,10,16,0.5,LogisticRegression,6
0.851063829787234,0.47058823529411764,0.6153846153846154,0.5333333333333333,0.8022317188983855,0.8022317188983855,0.8022317188983855,0.12195194879605877,26,58.26259993954024,0.4462554027280021,-1.639777485162408,0.7678828327864909,144,18,10,16,0.5,LogisticRegression,7
0.8085106382978723,0.375,0.5769230769230769,0.45454545454545453,0.7894112060778729,0.7894112060778729,0.7894112060778729,0.13859105007632383,26,60.42182448347514,0.43030809185695446,-1.739488679424625,0.620964420516121,137,25,11,15,0.5,LogisticRegression,8
0.8191489361702128,0.39473684210526316,0.5769230769230769,0.46875,0.7692307692307692,0.7692307692307692,0.7692307692307692,0.12840217343218377,26,58.75679003780926,0.4425020492656138,-1.6300064603007953,0.7146073428467512,139,23,11,15,0.5,LogisticRegression,9
0.8297872340425532,0.4166666666666667,0.5769230769230769,0.4838709677419355,0.7727920227920229,0.7727920227920229,0.7727920227920229,0.12671035656616902,26,57.41352043971711,0.4528550035056535,-1.6417114178182044,0.6821542181048628,141,21,11,15,0.5,LogisticRegression,10
0.8829787234042553,0.6666666666666666,0.3076923076923077,0.42105263157894735,0.8418803418803419,0.8418803418803419,0.8418803418803419,0.08434704255319149,26,20.854,1.2467632108947924,0.31231928809543696,0.9755705628713529,158,4,18,8,0.5,RandomForest,1
0.8829787234042553,0.6666666666666666,0.3076923076923077,0.42105263157894735,0.8055555555555556,0.8055555555555556,0.8055555555555556,0.08627206382978723,26,20.106,1.2931463244802546,0.1892987877879833,0.8739677055640566,158,4,18,8,0.5,RandomForest,2
0.8882978723404256,0.7777777777777778,0.2692307692307692,0.4,0.8488841405508073,0.8488841405508073,0.8488841405508073,0.08291702127659575,26,20.068,1.295594977077935,0.5867529075704124,1.1099579629225154,160,2,19,7,0.5,RandomForest,3
0.8882978723404256,0.7272727272727273,0.3076923076923077,0.43243243243243246,0.8302469135802469,0.8302469135802469,0.8302469135802469,0.08204608510638298,26,20.344,1.2780180888714117,-0.06803930001972919,0.7512335220532638,159,3,18,8,0.5,RandomForest,4
0.898936170212766,0.8888888888888888,0.3076923076923077,0.45714285714285713,0.8360636277302942,0.8360636277302942,0.8360636277302942,0.08255091489361702,26,19.366,1.3425591242383559,0.4728349778229675,1.0073734531169152,161,1,18,8,0.5,RandomForest,5
