Model,balanced_state,Test_Accuracy,Test_Precision,Test_Recall,Test_F1_Score,Test_ROC_AUC
Logistic Regression,Balanced_SMOTE,0.45714285714285713,0.18181818181818182,0.8,0.2962962962962963,0.6000000000000001
Random Forest,Balanced_SMOTE,0.8714285714285714,1.0,0.1,0.18181818181818182,0.55
XGBoost,Balanced_SMOTE,0.9142857142857143,0.6666666666666666,0.8,0.7272727272727273,0.8666666666666667
KNN,Balanced_SMOTE,0.6857142857142857,0.07142857142857142,0.1,0.08333333333333333,0.44166666666666665
SVC,Balanced_SMOTE,0.8571428571428571,0.0,0.0,0.0,0.5
NB Classifier,Balanced_SMOTE,0.7857142857142857,0.3076923076923077,0.4,0.34782608695652173,0.625
