Model,balanced_state,Test_Accuracy,Test_Precision,Test_Recall,Test_F1_Score,Test_ROC_AUC
Logistic Regression,Balanced_SMOTE,0.2,0.15151515151515152,1.0,0.2631578947368421,0.5333333333333333
Random Forest,Balanced_SMOTE,0.8857142857142857,0.6666666666666666,0.4,0.5,0.6833333333333333
XGBoost,Balanced_SMOTE,0.8857142857142857,0.5625,0.9,0.6923076923076923,0.8916666666666666
KNN,Balanced_SMOTE,0.6857142857142857,0.2,0.4,0.26666666666666666,0.5666666666666667
SVC,Balanced_SMOTE,0.8571428571428571,0.0,0.0,0.0,0.5
NB Classifier,Balanced_SMOTE,0.8142857142857143,0.2857142857142857,0.2,0.23529411764705882,0.5583333333333332
