feature,mean_importance,sd_importance,min_importance,max_importance,model
tg_follow,48.56105327910759,1.6753496101117442,45.837333352579094,51.34214168893917,CatBoost_tuned
tsh_follow,7.599059755037375,1.2369948842111564,5.98443008306066,9.415295639858359,CatBoost_tuned
tnm_t,5.897824242054011,0.5530528446256501,5.113796202112396,6.706663918396833,CatBoost_tuned
stage,5.394599346010128,0.29436004117602893,4.920859260480477,5.772501901756152,CatBoost_tuned
number_ln_exc,4.0061264610890035,0.9259727777955246,2.885343114914793,5.7642676266864035,CatBoost_tuned
tnm_n,3.780579495165617,0.34670564562784534,3.308949462566647,4.454605067247717,CatBoost_tuned
tnm_m,3.268415665038936,0.29691526925129785,2.7375644748912107,3.6508631160391527,CatBoost_tuned
type_resection,2.8751785062930737,0.8706806799882897,1.8235292830777758,4.517726030370412,CatBoost_tuned
bmi,2.760889937908336,0.7308658927379397,1.8252308989185042,4.536928723170519,CatBoost_tuned
age,2.1129587493526034,0.19715385601656343,1.8607914812470514,2.4316861052606957,CatBoost_tuned
extra_thy_exten,2.0293055584704103,0.25200585305056344,1.4814421396574564,2.377400825472947,CatBoost_tuned
multicentric,1.6257110493603946,0.17742660561641227,1.2723327420869952,1.8272077100613593,CatBoost_tuned
subtype,1.3282772442400965,0.17228831826772822,1.0467725039304967,1.5753439906282516,CatBoost_tuned
extranod_exten,1.1558257417769822,0.9922383268255767,0.22454987487426137,3.087745845368781,CatBoost_tuned
euthyroidism,1.1161754595990159,0.2530558352301469,0.5531334238555784,1.403864268368566,CatBoost_tuned
tumor_size,1.0871774146763014,0.2638893521687826,0.6910436645953972,1.4444008726412088,CatBoost_tuned
vascular_inv,0.8491299320224837,0.28118449647621424,0.45358404987072287,1.3381192043183054,CatBoost_tuned
hyperthyroidism,0.8333645061890659,0.16337625326830457,0.5411182437436486,1.10178850521603,CatBoost_tuned
thyrodectomy_approach,0.6192106455595612,0.19635290344667078,0.4194062906492967,1.0118535463584843,CatBoost_tuned
positive_ln,0.6182877150873174,0.21291506521995618,0.29950650127055556,0.9963923963137163,CatBoost_tuned
multicent_bilat,0.5854075537311753,0.2854954168658888,0.32419923893058156,1.2422164630273316,CatBoost_tuned
rai,0.4260118110886914,0.1181790919917795,0.2292972333420959,0.6708205285052654,CatBoost_tuned
hashimoto,0.41317407150961766,0.15013133946464174,0.1410324829252248,0.6367296896438682,CatBoost_tuned
sex,0.4128088591932649,0.0436084705993567,0.31891092241691865,0.4794054127959372,CatBoost_tuned
perineural_inv,0.2356651462974923,0.11548208308235186,0.09687459022483481,0.4058412193594048,CatBoost_tuned
hypothyroidism,0.13004386548823924,0.04852255805397481,0.05202101407293696,0.20200777674730536,CatBoost_tuned
histology,0.12591479925246368,0.01309771815432925,0.09753832359613979,0.14055186527495345,CatBoost_tuned
family_history,0.08861299286390642,0.023668344513075406,0.062408771236308724,0.12926861168164555,CatBoost_tuned
radiotherapy,0.06321019653684562,0.01669474439803601,0.03797582606757784,0.09881848012650114,CatBoost_tuned
