feature,mean_importance,sd_importance,min_importance,max_importance,model
tg_follow,2.0473351556454906,0.3032417298967434,1.8258637870207384,2.630432043123913,LogisticRegression_tuned
tnm_m,1.0668865403613912,0.33414149578381686,0.845916591365969,1.8410157438362154,LogisticRegression_tuned
tsh_follow,0.9577893131386878,0.20057354659816562,0.7925596463850172,1.3540397247664637,LogisticRegression_tuned
stage,0.8394773183874313,0.24432218608624628,0.6855940456782162,1.3582899774625992,LogisticRegression_tuned
hypothyroidism,0.6290145148879522,0.25629808072140386,0.44777437874859793,1.1932757882965426,LogisticRegression_tuned
type_resection,0.593878278752597,0.3722181700465459,0.29951381538838073,1.473302487357188,LogisticRegression_tuned
tumor_size,0.49875780809861414,0.1238099792087463,0.3951885968529772,0.782759504726449,LogisticRegression_tuned
perineural_inv,0.46569076365070866,0.31899520061049913,0.15723657277569691,1.087627851679092,LogisticRegression_tuned
number_ln_exc,0.42261878171496037,0.25738429346486497,0.2179209522093526,1.075472496261768,LogisticRegression_tuned
tnm_t,0.344493416637091,0.10966455339383496,0.2648157254930265,0.6338819278744094,LogisticRegression_tuned
extranod_exten,0.3179936763131328,0.27638803724638994,0.08996600196364965,1.0276998190495603,LogisticRegression_tuned
multicentric,0.275597638568863,0.1380294742030362,0.10835610832948485,0.6043652234136035,LogisticRegression_tuned
extra_thy_exten,0.2748476334271822,0.05997281299522198,0.1893688210092482,0.4159118747793426,LogisticRegression_tuned
bmi,0.2626218330313037,0.14316880263518383,0.04208901365753888,0.4766788097600686,LogisticRegression_tuned
family_history,0.23292270108622679,0.08966167763510266,0.1487587342521868,0.44609411615824274,LogisticRegression_tuned
euthyroidism,0.23223530062856473,0.046216370009822656,0.18063027085709787,0.3258296742012621,LogisticRegression_tuned
positive_ln,0.2149622675348423,0.09704591161700654,0.0890025621904601,0.3673328966304693,LogisticRegression_tuned
rai,0.17724756231137362,0.16252418975627067,0.031278261425846596,0.5298815532643407,LogisticRegression_tuned
vascular_inv,0.13535687660380843,0.07809093107198373,0.0037271786086601187,0.22523169444994373,LogisticRegression_tuned
hashimoto,0.1271689817153001,0.07920888279065896,0.017598718829472993,0.2948977841999065,LogisticRegression_tuned
multicent_bilat,0.11779686636212139,0.09939289198284795,0.004212555453470301,0.32154312167477367,LogisticRegression_tuned
age,0.10408594185785511,0.04895469223296744,0.007816806998233276,0.18267013786246947,LogisticRegression_tuned
histology,0.09739423459380492,0.05142164173196226,0.021737238581088048,0.22227302034831545,LogisticRegression_tuned
subtype,0.08635062154018125,0.10162884591781936,0.024244958972335032,0.35017266392103874,LogisticRegression_tuned
radiotherapy,0.07340260737216348,0.05211117466713257,0.01993600425695185,0.16297523108737103,LogisticRegression_tuned
thyrodectomy_approach,0.06858196553125513,0.05201772993294992,0.003188157531507905,0.16060158050286738,LogisticRegression_tuned
tnm_n,0.05618331866724753,0.05689942104090319,0.006060677242660521,0.1853182090580052,LogisticRegression_tuned
sex,0.0492528689981066,0.06476748964634035,0.0008400955631735758,0.19570506426652728,LogisticRegression_tuned
hyperthyroidism,0.03273066820460168,0.020341304777166443,0.009122560728824905,0.06615609450600064,LogisticRegression_tuned
