feature,mean_importance,sd_importance,min_importance,max_importance,model
tg_follow,47.13288476997908,1.4860317893957904,44.90786454956657,50.21471189943768,CatBoost_tuned
tnm_t,7.159827143198511,0.5295167439122487,6.169064243370672,7.811032503839873,CatBoost_tuned
tsh_follow,6.597307682314408,0.8881453042714822,5.599061279919244,8.65454798787707,CatBoost_tuned
type_resection,5.067811333799051,1.0625555650200826,3.6720758868478143,6.822838538543423,CatBoost_tuned
stage,4.601689741130567,0.7093955056336698,3.567893877334241,6.067703703956936,CatBoost_tuned
tnm_n,4.345845615341175,0.5176923244045345,3.5339953849673953,4.939599047075754,CatBoost_tuned
number_ln_exc,4.183362170095353,1.3325947858877498,2.9421459386700506,6.636490080762516,CatBoost_tuned
bmi,3.5486537543320416,1.0643502941605745,2.184989226452314,6.175098384269931,CatBoost_tuned
age,2.587757964048437,0.4272687367506112,1.879927379108092,2.995876407845139,CatBoost_tuned
extra_thy_exten,2.5176296109800775,0.5899551981278912,1.2511498877096983,3.5390978625379703,CatBoost_tuned
tnm_m,1.981945855077664,1.049801880759341,1.2379875882429754,4.271008297811371,CatBoost_tuned
subtype,1.8828405269809871,0.3751424106862721,1.2295958134555165,2.3250123639381126,CatBoost_tuned
multicent_bilat,1.0102869764826055,0.621728111411931,0.4367704157177279,2.6138915880316356,CatBoost_tuned
positive_ln,0.9945332994718751,0.7514475201769648,0.3213639227050274,2.4065703753199412,CatBoost_tuned
hashimoto,0.8069223529253844,0.4337655669442225,0.19276175530805992,1.776442698759118,CatBoost_tuned
tumor_size,0.7571710481156683,0.2315336495053098,0.47837368660684815,1.3222553755413098,CatBoost_tuned
thyrodectomy_approach,0.6531242344994841,0.21218069875111753,0.19400247197822623,0.9056297593187383,CatBoost_tuned
multicentric,0.6314779080056956,0.11231196779919596,0.4886217867895332,0.8306844507333224,CatBoost_tuned
euthyroidism,0.6105150747883754,0.35604522075703177,0.03308619765684241,1.0760083348773601,CatBoost_tuned
vascular_inv,0.5767163582061157,0.33935167656843573,0.15730410112681228,1.2204634820622402,CatBoost_tuned
extranod_exten,0.5589253804562134,0.5626180260008783,0.1428763901187896,2.1255953550908786,CatBoost_tuned
perineural_inv,0.38921502842676925,0.28902128463749116,0.10705917357605298,0.9271360047367285,CatBoost_tuned
hyperthyroidism,0.38576488956597454,0.20335552435667792,0.027238793315355198,0.6204298386368271,CatBoost_tuned
histology,0.26415340368528206,0.12085130250516343,0.14369013131395786,0.5857142563797462,CatBoost_tuned
rai,0.2573050613974026,0.06533552504663863,0.17675436343544954,0.3700337178735862,CatBoost_tuned
sex,0.16185055300317425,0.045934168798906716,0.11366961015362757,0.26562340316611655,CatBoost_tuned
hypothyroidism,0.14240980901264297,0.07699012748796265,0.04459662856788366,0.2797770901916277,CatBoost_tuned
family_history,0.10717517447143954,0.06144188648162379,0.002022349066083447,0.2011127248697188,CatBoost_tuned
radiotherapy,0.08489728020855243,0.056534833475177765,0.030307703517355445,0.2177250378905242,CatBoost_tuned
